Date,game_id,game_pk,pitcher_name,retroID_pitcher,fangraphsID_pitcher,mlbID_pitcher,brefID_pitcher,fgTeam_pitcher,mlbTeam_pitcher,fgTeam_batter,mlbTeam_batter,GS,W,L,SV,HLD,IP,TBF,H,R,ER,HR,BB,SO,BABIP,ERA,FIP,xFIP,Hper9,HRper9,Kper9,BBper9,Innings,Year,balls,strikes,cluster,classified
6/18/2019,ARI201906180,564863,Merrill Kelly,kellm002,11156,518876,kellyme01,ARI,ARI,COL,COL,1,0,1,0,0,6,27,8,6,5,1,0,5,0.333,7.5,3.71,3.87,12,1.5,7.5,0,6,2019,26,58,2,Bad Start
6/18/2019,ARI201906180,564863,Antonio Senzatela,senza001,15488,622608,senzaan01,COL,COL,ARI,ARI,1,1,0,0,0,6.2,30,7,1,1,0,4,5,0.333,1.35,3.51,4.41,9.45,0,6.75,5.4,6.67,2019,44,59,2,Bad Start
6/19/2019,ARI201906190,564864,Zack Greinke,greiz001,1943,425844,greinza01,ARI,ARI,COL,COL,1,0,1,0,0,7,29,11,5,5,1,0,2,0.385,6.43,4.5,4.35,14.14,1.29,2.57,0,7,2019,29,58,2,Bad Start
6/21/2019,ARI201906210,564866,Jeff Samardzija,samaj001,3254,502188,samarje01,SFG,SF,ARI,ARI,1,1,0,0,0,6,28,9,5,5,1,1,5,0.4,7.5,4.71,5.53,13.5,1.5,7.5,1.5,6,2019,37,58,2,Bad Start
6/24/2019,ARI201906240,564869,Zack Greinke,greiz001,1943,425844,greinza01,ARI,ARI,LAD,LAD,1,0,0,0,0,6,27,7,4,4,0,1,6,0.368,6,2.21,3.87,10.5,0,9,1.5,6,2019,32,63,2,Bad Start
6/25/2019,ARI201906250,564870,Robbie Ray,ray-r002,11486,592662,rayro02,ARI,ARI,LAD,LAD,1,0,1,0,0,6.1,27,4,3,3,2,3,9,0.167,4.26,6.37,4.15,5.68,2.84,12.79,4.26,6.33,2019,37,66,1,Good Start
7/18/2019,ARI201907180,564875,Zach Davies,daviz001,13183,605200,davieza02,MIL,MIL,ARI,ARI,1,1,0,0,0,7,27,5,1,1,0,3,0,0.208,1.29,4.5,7.91,6.43,0,0,3.86,7,2019,40,59,1,Good Start
7/20/2019,ARI201907200,564877,Zack Greinke,greiz001,1943,425844,greinza01,ARI,ARI,MIL,MIL,1,0,0,0,0,7,28,6,2,2,1,1,9,0.294,2.57,2.93,3.34,7.71,1.29,11.57,1.29,7,2019,34,67,1,Good Start
7/22/2019,ARI201907220,564879,Robbie Ray,ray-r002,11486,592662,rayro02,ARI,ARI,BAL,BAL,1,1,0,0,0,6,27,8,3,3,2,1,10,0.429,4.5,4.71,2.7,12,3,15,1.5,6,2019,31,69,2,Bad Start
8/5/2019,ARI201908050,564885,Merrill Kelly,kellm002,11156,518876,kellyme01,ARI,ARI,PHI,PHI,1,0,1,0,0,6,27,8,4,3,1,1,4,0.333,4.5,4.55,4.7,12,1.5,6,1.5,6,2019,26,58,2,Bad Start
8/6/2019,ARI201908060,564886,Mike Leake,leakm001,10130,502190,leakemi01,ARI,ARI,PHI,PHI,1,0,0,0,0,5.1,27,11,3,2,1,1,3,0.455,3.38,5.09,4.14,18.56,1.69,5.06,1.69,5.33,2019,32,65,2,Bad Start
8/19/2019,ARI201908190,564892,Zac Gallen,gallz001,19291,668678,galleza01,ARI,ARI,COL,COL,1,0,0,0,0,6,27,5,1,1,0,6,8,0.385,1.5,3.55,4.54,7.5,0,12,9,6,2019,42,61,2,Bad Start
9/2/2019,ARI201909020,564899,Cal Quantrill,quanc001,19312,615698,quantca01,SDP,SD,ARI,ARI,1,0,1,0,0,5,27,10,8,8,1,1,4,0.429,14.4,4.81,6.19,18,1.8,7.2,1.8,5,2019,29,61,2,Bad Start
9/15/2019,ARI201909150,564904,Trevor Bauer,bauet001,12703,545333,bauertr01,CIN,CIN,ARI,ARI,1,1,0,0,0,8,29,4,1,1,0,1,9,0.211,1.13,1.34,3.33,4.5,0,10.12,1.12,8,2019,37,80,1,Good Start
9/18/2019,ARI201909180,564907,Mike Leake,leakm001,10130,502190,leakemi01,ARI,ARI,MIA,MIA,1,1,0,0,0,6.2,28,8,3,3,2,0,4,0.286,4.05,6.36,5.75,10.8,2.7,5.4,0,6.67,2019,27,59,2,Bad Start
9/18/2019,ARI201909180,564907,Sandy Alcantara,alcas001,18684,645261,alcansa01,MIA,MIA,ARI,ARI,1,0,1,0,0,5.2,27,7,5,4,2,2,3,0.25,6.35,7.8,5.32,11.12,3.18,4.76,3.18,5.67,2019,37,66,2,Bad Start
